"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2110000000","-113,2","   5,7","-135,4","-103,2","136","Meas. Unit: ETM018"
"8/8/2021  20:10:00,000","  2110100000","-113,5","   5,7","-136,0","-103,8","136","Longitude: 048°13'51,1""W"
"8/8/2021  20:10:00,000","  2110200000","-114,3","   5,7","-130,3","-105,3","136","Latitude: 18°53'19,6""S"
"8/8/2021  20:10:00,000","  2110300000","-113,3","   4,5","-124,9","-102,1","136","Measurement Result Type: Compressed Measurement Result"
"8/8/2021  20:10:00,000","  2110400000","-113,5","   5,4","-134,3","-102,3","136","Meas. Result Properties: "
"8/8/2021  20:10:00,000","  2110500000","-113,7","   5,6","-133,1","-105,1","136"," Start Date: 8/8/2021"
"8/8/2021  20:10:00,000","  2110600000","-114,7","   6,8","-144,9","-104,3","136"," Start Time: 8:02:24 PM"
"8/8/2021  20:10:00,000","  2110700000","-113,7","   5,6","-137,5","-105,2","136"," Stop Date: 8/8/2021"
"8/8/2021  20:10:00,000","  2110800000","-113,1","   6,0","-134,9","-103,7","136"," Stop Time: 8:44:26 PM"
"8/8/2021  20:10:00,000","  2110900000","-113,4","   6,1","-132,7","-102,1","136"," Number of Measurements: 1063"
"8/8/2021  20:10:00,000","  2111000000","-114,4","   6,6","-136,4","-103,3","136"," Compress Time Interval: 5 min"
"8/8/2021  20:10:00,000","  2111100000","-113,5","   5,0","-127,0","-103,0","136","Timing Definition:"
"8/8/2021  20:10:00,000","  2111200000","-113,1","   5,2","-129,4","-102,4","136","Name: timing_PMEF+PMEF (M)"
"8/8/2021  20:10:00,000","  2111300000","-114,2","   5,5","-134,8","-105,3","136","Date: 8/8/2021"
"8/8/2021  20:10:00,000","  2111400000","-114,2","   5,1","-132,1","-103,9","136","Time: 8:01:39 PM"
"8/8/2021  20:10:00,000","  2111500000","-113,6","   4,9","-132,8","-103,3","136","Measurement Definition:"
"8/8/2021  20:10:00,000","  2111600000","-114,3","   5,8","-139,8","-104,7","136","Name: meas_PMEF (mob)"
"8/8/2021  20:10:00,000","  2111700000","-113,8","   5,8","-140,8","-104,4","136","Date: 8/8/2021"
"8/8/2021  20:10:00,000","  2111800000","-113,8","   6,4","-135,3","-104,4","136","Time: 6:05:53 PM"
"8/8/2021  20:10:00,000","  2111900000","-113,5","   5,6","-134,8","-104,3","136","Measurement Type: Scan"
"8/8/2021  20:10:00,000","  2112000000","-113,8","   5,5","-132,7","-104,0","136","Minimum Frequency: 2,110000000 GHz"
"8/8/2021  20:10:00,000","  2112100000","-113,6","   5,2","-131,5","-104,0","136","Maximum Frequency: 2,170000000 GHz"
"8/8/2021  20:10:00,000","  2112200000","-113,6","   5,0","-131,0","-104,2","136","Step Width: 100,000 kHz"
"8/8/2021  20:10:00,000","  2112300000","-113,3","   5,5","-130,1","-103,7","136","Squelch: Off"
"8/8/2021  20:10:00,000","  2112400000","-113,2","   5,6","-140,6","-102,8","136","Meas. Parameter: Level"
"8/8/2021  20:10:00,000","  2112500000","-113,3","   5,4","-131,9","-105,0","136","Range Definition:"
"8/8/2021  20:10:00,000","  2112600000","-113,4","   5,2","-130,6","-104,2","136","Name: 220_PMEF_3"
"8/8/2021  20:10:00,000","  2112700000","-113,3","   5,4","-129,7","-104,6","136","Date: 8/8/2021"
"8/8/2021  20:10:00,000","  2112800000","-113,4","   5,5","-132,9","-103,2","136","Time: 11:07:30 AM"
"8/8/2021  20:10:00,000","  2112900000","-113,0","   4,8","-131,0","-103,9","136","No. of Subranges: 1"
"8/8/2021  20:10:00,000","  2113000000","-113,3","   4,7","-129,7","-102,6","136","Subrange 1:"
"8/8/2021  20:10:00,000","  2113100000","-113,5","   5,4","-135,5","-103,4","136","Start Frequency: 2,110000000 GHz"
"8/8/2021  20:10:00,000","  2113200000","-113,2","   5,5","-135,6","-103,4","136","Stop Frequency: 2,170000000 GHz"
"8/8/2021  20:10:00,000","  2113300000","-113,3","   5,3","-131,9","-104,3","136","Device 1:"
"8/8/2021  20:10:00,000","  2113400000","-113,5","   6,3","-142,0","-102,8","136","Name: ADDx07_dBm"
"8/8/2021  20:10:00,000","  2113500000","-113,2","   5,4","-128,2","-103,5","136","Azimuth: 0,000 deg"
"8/8/2021  20:10:00,000","  2113600000","-114,0","   6,8","-148,4","-102,8","136","Elevation: 0,000 deg"
"8/8/2021  20:10:00,000","  2113700000","-113,6","   6,2","-140,1","-103,4","136","Height: 0,00 m"
